question,ground_truths,contexts,answer
Who is known as the 'Little Master' in cricket?,"[""Sachin Tendulkar is often called the 'Little Master' in cricket.""]","[""Sachin Tendulkar, known as the 'Little Master,'' is hailed as one of the greatest batsmen to have played cricket."", 'His elegant and technically sound batting style has left a lasting impact on the game.']",Sachin Tendulkar is known as the 'Little Master.'
Which player has the highest number of international centuries in ODI cricket?,['Virat Kohli is known for his numerous international centuries in ODI format.'],"['Virat Kohli holds the record for the highest number of international centuries in ODI cricket surpassing his idol Sachin Tendulkar who has 49 centuries, showcasing his incredible consistency and skill as a batsman.', 'His ability to chase targets and play under pressure has earned him immense admiration.']",Virat Kohli holds the record for the highest number of international centuries.
Which team has won the most ICC Cricket World Cups?,['Australia dominated the ICC Cricket World Cup with multiple victories.'],"['Australia has won the most ICC Cricket World Cups, dominating the tournament with their aggressive and competitive cricket over the years.', 'Their success is attributed to a strong cricketing culture and talented players.']",Australia has won the most ICC Cricket World Cups.
Who is famous for the 'helicopter shot' in cricket?,"[""MS Dhoni popularized the 'helicopter shot' in cricket.""]","[""MS Dhoni, the former captain of the Indian cricket team, is famous for the 'helicopter shot,' a unique and powerful stroke that he popularized."", 'The shot involves a high backlift and a powerful flick of the wrists.']",MS Dhoni is famous for the 'helicopter shot' in cricket.
In which year did Sachin Tendulkar retire from international cricket?,['Sachin Tendulkar bid farewell to international cricket in 2013.'],"['Sachin Tendulkar retired from international cricket in 2013, marking the end of an illustrious career that spanned over two decades.', 'His farewell speech at the Wankhede Stadium in Mumbai was an emotional moment for cricket fans worldwide.']",Sachin Tendulkar retired from international cricket in 2013.
Who holds the record for the fastest century in T20 international cricket?,['AB de Villiers set the record for the fastest century in T20 international cricket.'],"['South African cricketer AB de Villiers holds the record for the fastest century in T20 international cricket, achieving the feat in just 31 balls.', 'His ability to score at a rapid pace has made him one of the most exciting players in the format.']",AB de Villiers holds the record for the fastest century in T20 international cricket.
Which team is often referred to as the 'Proteas' in international cricket?,"[""The South African cricket team is nicknamed the 'Proteas'.""]","[""The South African cricket team is often referred to as the 'Proteas' in international cricket, symbolizing resilience and strength."", 'The team has produced some exceptional players and has a competitive spirit on the field.']",The South African cricket team is often referred to as the 'Proteas' in international cricket.
Who is considered the best captain in the history of Indian cricket?,['M.S. Dhoni is highly regarded as the best captain in Indian cricket history.'],"['M.S. Dhoni is considered the best captain in the history of Indian cricket, leading the team to numerous victories, including the ICC Cricket World Cup in 2011.', ""His calm and composed captaincy style earned him the nickname 'Captain Cool.'""]",M.S. Dhoni is considered the best captain in the history of Indian cricket.
In which city is the iconic Melbourne Cricket Ground (MCG) located?,"['The iconic Melbourne Cricket Ground (MCG) is situated in Melbourne, Australia.']","['The iconic Melbourne Cricket Ground (MCG) is located in Melbourne, Australia, and is one of the largest and most historic cricket stadiums in the world.', 'It has hosted numerous memorable cricket matches and is a symbol of Australian sports culture.']","The iconic Melbourne Cricket Ground (MCG) is located in Melbourne, Australia."
Which country won the ICC Cricket World Cup in 2019?,['England won the ICC Cricket World Cup in 2019'],"['The ICC Cricket World Cup in 2019 was hosted by England.', 'England won the tournament by defeating New Zealand in a thrilling final.']",England
Who is known as the 'Master Blaster' in cricket?,"[""Sachin Tendulkar is often called the 'Master Blaster' in cricket.""]","[""Sachin Tendulkar, known as the 'Master Blaster,' is celebrated as one of the greatest batsmen in the history of cricket."", 'He has numerous records to his name, including the most runs in international cricket.']",Sachin Tendulkar is known as the 'Master Blaster.'
Which player has the highest individual score in a Test match innings?,['Brian Lara holds the record for the highest individual score in a Test match innings.'],"['Brian Lara, the legendary West Indian cricketer, holds the record for the highest individual score in a Test match innings, scoring an unbeaten 400 against England in 2004.', 'His record-breaking performance is still unmatched in Test cricket.']",Brian Lara holds the record for the highest individual score in a Test match innings.
Who is famous for scoring six sixes in an over in T20 cricket?,['Yuvraj Singh is famous for hitting six sixes in an over in T20 cricket.'],"['Yuvraj Singh, the Indian cricket star, is famous for hitting six sixes in an over against Stuart Broad in the 2007 ICC T20 World Cup.', 'This feat made him a household name and a T20 legend.']",Yuvraj Singh is famous for hitting six sixes in an over in T20 cricket.
In which year did India win their first ICC T20 World Cup?,['India won their first ICC T20 World Cup in 2007.'],"['India clinched their first ICC T20 World Cup title in 2007 under the captaincy of MS Dhoni.', 'The final was played against Pakistan, and India emerged victorious in a thrilling match.']",India won their first ICC T20 World Cup in 2007.
Who holds the record for the most wickets in Test cricket?,['Muttiah Muralitharan holds the record for the most wickets in Test cricket.'],"['Sri Lankan spinner Muttiah Muralitharan holds the record for the most wickets in Test cricket, with 800 wickets to his name.', 'His exceptional spin bowling earned him a place among the all-time greats of the game.']",Muttiah Muralitharan holds the record for the most wickets in Test cricket.
Which team is often referred to as the 'Black Caps' in international cricket?,"[""The New Zealand cricket team is nicknamed the 'Black Caps.'""]","[""The New Zealand cricket team is often referred to as the 'Black Caps' in international cricket, symbolizing their competitive spirit and resilience."", 'The team has been a consistent performer in various ICC tournaments.']",The New Zealand cricket team is often referred to as the 'Black Caps.'
Who is considered the best all-rounder in the history of cricket?,['Sir Garfield Sobers is widely regarded as the best all-rounder in cricket history.'],"['Sir Garfield Sobers, the West Indian cricket legend, is widely regarded as the best all-rounder in the history of cricket.', 'He excelled in both batting and bowling, making significant contributions to the game.']",Sir Garfield Sobers is considered the best all-rounder in cricket history.
"In which city is the Lord""s Cricket Ground located?","['The Lords Cricket Ground is situated in London, England.']","[""The Lord's Cricket Ground, also known as the 'Home of Cricket' is located in London, England."", 'It is one of the oldest and most prestigious cricket grounds in the world.']","The Lord's Cricket Ground is located in London, England."
Which country won the ICC T20 World Cup in 2016?,['West Indies won the ICC T20 World Cup in 2016.'],"['The West Indies cricket team won the ICC T20 World Cup in 2016, defeating England in the final.', ""Carlos Brathwaite's four consecutive sixes in the last over secured the victory for West Indies.""]",West Indies won the ICC T20 World Cup in 2016.
Who is known as the 'Wall' in cricket?,"[""Rahul Dravid is often called the 'Wall' in cricket.""]","[""Rahul Dravid, known as the 'Wall' in cricket, is renowned for his solid defense and ability to bat for long periods."", 'His patience and technique made him one of the most dependable batsmen in the world.']",Rahul Dravid is known as the 'Wall' in cricket.
Which player has the highest individual score in an ODI match?,['Rohit Sharma holds the record for the highest individual score in an ODI match.'],"['Rohit Sharma, the Indian cricket star, holds the record for the highest individual score in an ODI match, scoring 264 runs against Sri Lanka in 2014.', 'His incredible innings included 33 fours and 9 sixes.']",Rohit Sharma holds the record for the highest individual score in an ODI match.
Which team has won the most ICC T20 World Cups?,['West Indies has won the most ICC T20 World Cups.'],"[""West Indies has been a dominant force in ICC T20 World Cups, winning the tournament twice.', 'Their explosive batting and effective bowling have been key to their success.""]",West Indies has won the most ICC T20 World Cups.
Who scored the first double century in ODI cricket?,['Sachin Tendulkar is famous for scoring a double century in ODI.'],"[""Sachin Tendulkar, the legendary Indian cricketer, is famous for being the first player to score a double century in ODI cricket.', 'He achieved this milestone against South Africa in 2010.""]",Sachin Tendulkar scored first double century in the history of ODI cricket against South Africa.
In which year did Australia win their first ICC Cricket World Cup?,['Australia won their first ICC Cricket World Cup in 1987.'],"['Australia won their first ICC Cricket World Cup in 1987 under the captaincy of Allan Border.', 'The final was held in India, and Australia defeated England to clinch the title.']",1987
